lines <- data.frame (x = c(20,42,60,70,80,98,120,20,25,115,25,115,20,39,57,67,77,95,120,20,25,115,25,115,20,39,57,67,77,95,120),
                     y = c(0,0,0,0,0,0,0,5,2,2,12,12,15,15,15,15,15,15,15,65,62,62,52,52,55,55,55,55,55,55,55),
                     xend = c(20,42,60,70,80,98,120,120,25,115,25,115,25,45,63,73,83,102,115,120,25,115,25,115,25,45,63,73,83,102,115),
                     yend = c(70,70,70,70,70,70,70,5,8,8,18,18,15,15,15,15,15,15,15,65,68,68,58,58,55,55,55,55,55,55,55),
                     dash = c(1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1))


x	y	xend 	yend 	dash
20	0	20	70	1
42	0	42	70	1
60	0	60	70	2
70	0	70	70	1
80	0	80	70	2
98	0	98	70	1
120	0	120	70	1
20	5	120	5	2
25	2	25	8	1
115	2	115	8	1
25	12	25	18	1
115	12	115	18	1
20	15	25	15	1
39	15	45	15	1
57	15	63	15	1
67	15	73	15	1
77	15	83	15	1
95	15	102	15	1
120	15	115	15	1
20	65	120	65	2
25	62	25	68	1
115	62	115	68	1
25	52	25	58	1
115	52	115	58	1
20	55	25	55	1
39	55	45	55	1
57	55	63	55	1
67	55	73	55	1
77	55	83	55	1
95	55	102	55	1
120	55	115	55	1
