"";"Teamnum";"Phase";"Team";"Player";"plylab";"subset";"Zone";"main"
"1";"A";"A2";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"2";"A";"A2";"Kerry";6;"6 Ko Unc Rec";"Ko Rec";30;"Ko Rec"
"3";"A";"A4";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"4";"A";"A4";"Kerry";10;"10 Ko Rec";"Ko Rec";60;"Ko Rec"
"5";"A";"A9";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"6";"A";"A9";"Kerry";7;"7 Ko Rec";"Ko Rec";35;"Ko Rec"
"7";"A";"A11";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"8";"A";"A11";"Kerry";1;"1 Ko Free Loss Off";"Ko ToL";27;"ToL"
"9";"A";"A12";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"10";"A";"A12";"Kerry";3;"3 Ko Rec";"Ko Rec";25;"Ko Rec"
"11";"A";"A13";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"12";"A";"A13";"Kerry";3;"3 Ko Unc Rec";"Ko Rec";24;"Ko Rec"
"13";"A";"A19";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"14";"A";"A19";"Kerry";17;"17 KoBrk Rec";"Ko Rec";48;"Ko Rec"
"15";"A";"A20";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"16";"A";"A20";"Kerry";10;"10 Ko Fk Won";"Ko Rec";52;"Ko Rec"
"17";"A";"A22";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"18";"A";"A22";"Kerry";5;"5 Ko Rec";"Ko Rec";40;"Ko Rec"
"19";"A";"A24";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"20";"A";"A24";"Kerry";5;"5 Ko Rec";"Ko Rec";23;"Ko Rec"
"21";"A";"A25";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"22";"A";"A25";"Kerry";18;"18 KoBrk Rec";"Ko Rec";60;"Ko Rec"
"23";"A";"A29";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"24";"A";"A29";"Kerry";6;"6 Ko Rec";"Ko Rec";28;"Ko Rec"
"25";"A";"A30";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"26";"A";"A30";"Kerry";17;"17 Ko Rec";"Ko Rec";23;"Ko Rec"
"27";"A";"A36";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"28";"A";"A36";"Kerry";23;"23 Ko Rec";"Ko Rec";52;"Ko Rec"
"29";"A";"A36";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"30";"A";"A36";"Kerry";1;"1 KoBrk Lost";"Ko ToL";62;"ToL"
"31";"A";"A41";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"32";"A";"A41";"Kerry";10;"10 Ko Rec";"Ko Rec";38;"Ko Rec"
"33";"A";"A46";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"34";"A";"A46";"Kerry";4;"4 Ko Rec";"Ko Rec";35;"Ko Rec"
"35";"A";"A47";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"36";"A";"A47";"Kerry";11;"11 Ko Mk Won";"Ko Rec";66;"Ko Rec"
"37";"A";"A49";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"38";"A";"A49";"Kerry";1;"1 KoBrk Lost";"Ko ToL";13;"ToL"
"39";"A";"A53";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"40";"A";"A53";"Kerry";20;"20 Ko MkW Po";"Ko Rec";52;"Ko Rec"
"41";"A";"A54";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"42";"A";"A54";"Kerry";5;"5 KoBrk Rec";"Ko Rec";48;"Ko Rec"
"43";"A";"A55";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"44";"A";"A55";"Kerry";25;"25 Ko Unc Rec";"Ko Rec";41;"Ko Rec"
"45";"A";"A56";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"46";"A";"A56";"Kerry";3;"3 Ko Rec";"Ko Rec";25;"Ko Rec"
"47";"A";"A57";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"48";"A";"A57";"Kerry";1;"1 KoBrk Lost";"Ko ToL";53;"ToL"
"49";"A";"A58";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"50";"A";"A58";"Kerry";1;"1 Ko Lost";"Ko ToL";22;"ToL"
"51";"A";"A59";"Kerry";1;"1 Ko";"Ko";144;"Ko"
"52";"A";"A59";"Kerry";13;"13 KoBrk Rec";"Ko Rec";88;"Ko Rec"
